Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,1999757,1999757,33554432,1024,0,0,12,4,32,64,0x0,0x7fb494acd380,1638752,10608411328,1188142118195,382659933919247,384482318406034,384482560781411,382660164045301
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd200,1048576,2173570470,243439809404,382660164092280,384482560833498,384482647208497,382660228547547
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd280,1058992,2095191883,234661491921,382660228581747,384482647238725,384482715437925,382660293121842
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd240,1572864,1955130925,218974612108,382660293165142,384482715464645,384482771870271,382660341969779
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd2c0,1585824,2010668445,225194954365,382660342010548,384482771897147,384482820701182,382660392458915
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,1999757,1999757,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb494acd340,1064960,941021048,105394316470,382660392473125,384482820731422,384482839768332,382660411733941
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd200,1048576,2423497964,271431819228,382660411763741,384482839812910,384482917177334,382660483907288
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd280,1048576,2277691640,255101344988,382660483904498,384482917213198,384483005764821,382660553661401
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd240,1582416,2004627894,224518276985,382660553685290,384483005796181,384483053337663,382660603875738
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd2c0,1584640,2007069177,224791743132,382660603920178,384483053359637,384483100464477,382660652965683
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,1999757,1999757,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb494acd340,1064960,934786217,104696028393,382660652964513,384483100491037,384483119904906,382660672597327
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd200,1048576,2404372229,269289714088,382660672622017,384483119947769,384483187990794,382660743945880
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd280,1076784,2270825464,254332511328,382660743958420,384483188025328,384483289570692,382660826098332
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd240,1610688,1987881920,222642824599,382660826171182,384483289670692,384483349887511,382660878406267
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd2c0,1572864,2076847920,232606786060,382660878441766,384483349923046,384483399678759,382660930820341
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,1999757,1999757,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb494acd340,1064960,930632397,104230831690,382660930864020,384483399710919,384483418777429,382660950617354
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd200,1063552,2456242322,275099112606,382660950712623,384483418825941,384483512356425,382661022402443
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd280,1050144,2227567624,249487523467,382661022419763,384483512402379,384483601686796,382661115267457
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd240,1572864,2053060809,229942789108,382661115263847,384483601714796,384483655211781,382661164439611
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd2c0,1572864,1847943799,206969671132,382661164480251,384483655233682,384483702163004,382661212335954
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,1999757,1999757,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb494acd340,1064960,937906039,105045453524,382661212332904,384483702184284,384483721251275,382661231928198
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd200,1062688,2262474096,253397081124,382661231914178,384483721293607,384483827061177,382661300760447
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd280,1050080,2302296394,257857227013,382661300691107,384483827105104,384483922642625,382661394035348
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd240,1572864,1856392107,207915843276,382661393982738,384483922675585,384483973417696,382661442093460
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd2c0,1618384,2017696688,225981954972,382661442090390,384483973439247,384484037838919,382661492508806
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,1999757,1999757,16777216,1024,8192,0,20,4,32,64,0x0,0x7fb494acd340,1064960,878852714,98431499828,382661492537166,384484037907079,384484057359827,382661512028381
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,1999757,1999757,33554432,1024,0,0,8,0,16,64,0x0,0x7fb494acd200,1055936,2341418580,262238903866,382661512068121,384484057406785,384484124647572,382661581722994
