Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2528085,2528085,33554432,1024,0,0,12,4,32,64,0x0,0x7f61ad5b5380,457770306,457770306,524288,2621440,386914,43145608,386373395050536,388815760490734,388816036841280,386373686355594
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,142835803,142835803,524288,1572864,230568,25835056,386373686305415,388816036892487,388816122287879,386373771502604
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,114290833,114290833,524288,2097152,303102,34018600,386373771441864,388816122320405,388816187256671,386373839618969
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,80965333,80965333,524288,2621440,385013,43133464,386373839595899,388816187283871,388816237475544,386373887988077
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,81236965,81236965,524288,2621440,384457,43081468,386373887959318,388816237502168,388816284927446,386373936460395
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,31993722,31993722,262144,10125312,1466355,164136700,386373936424565,388816284956406,388816303995059,386373955668557
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,119777292,119777292,524288,1572864,225710,25165824,386373955638477,388816304040125,388816391571532,386374027110870
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,144232207,144232207,524288,2097152,300040,33554472,386374027047141,388816391600888,388816481608424,386374113047682
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,86129168,86129168,524288,2621440,375363,41943064,386374112993723,388816481638664,388816529397861,386374164494460
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,79814611,79814611,524288,2621440,373319,41943040,386374164450131,388816529424370,388816576221330,386374212116156
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32337871,32337871,262144,10125312,1448267,162090192,386374212054647,388816576248530,388816595646382,386374231505927
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,172627997,149725349,524849,1863194,710819,79686332,386374231474977,388816595689517,388816678415480,386374334295814
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,119768708,119768708,524288,2097152,304083,34020016,386374334264394,388816678498370,388816764252804,386374405893306
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,81903753,81903753,524288,2621440,382665,42961896,386374405834136,388816764285764,388816825670198,386374454715520
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,79891760,79891760,524288,2621440,385910,43161872,386374454674180,388816825705531,388816884874940,386374502517243
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32070925,32070925,262144,10125312,1490801,166811064,386374502462814,388816884911740,388816904149436,386374521734816
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,186332459,149544532,524744,1675493,816189,91429868,386374521710706,388816904196992,388816995130140,386374632647644
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,157432978,157432978,524288,2097152,301539,33848424,386374632595945,388816995171216,388817068111932,386374726452139
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,85308669,85308669,524288,2621440,384668,43173332,386374726389200,388817068136092,388817115632732,386374777305823
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,126149971,82505453,525402,3447644,958635,107374136,386374777255574,388817115654085,388817166252643,386374852378851
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32390553,32390553,262144,10125312,1466031,164147640,386374852305642,388817166279683,388817185332260,386374871796721
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,111482152,111482152,524288,1572864,233759,26092332,386374871761762,388817185374642,388817287373514,386374938281703
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,146906308,146906308,524288,2097152,303483,34031088,386374938218844,388817287413074,388817378335656,386375025818759
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,130689538,95856030,524306,2623017,428026,47969056,386375025753480,388817378366856,388817438660417,386375103591480
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,79457905,79457905,524288,2621440,383976,42969604,386375103539741,388817438687766,388817516032312,386375150997958
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32695279,32695279,262144,10125312,1464186,164040068,386375150950209,388817516098552,388817535340087,386375170588507
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,121061697,121061697,524288,1572864,233952,26069516,386375170579557,388817535386084,388817601568429,386375242889222
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,155329097,155329097,524288,2097152,301674,33836272,386375242835832,388817601595089,388817682175145,386375335485809
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,82219227,82219227,524288,2621440,373908,41943052,386375335408319,388817682206665,388817733422496,386375384516650
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,107388509,84016435,524881,2986801,851669,95435500,386375384458251,388817733443977,388817781127018,386375448506856
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32972995,32972995,262144,10125312,1466763,164160572,386375448559006,388817781147978,388817818220013,386375468689909
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,115045123,115045123,524288,1572864,229754,25856476,386375468674870,388817818313970,388817890600135,386375537284361
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,146627523,146627523,524288,2097152,304165,34011732,386375537248951,388817890630558,388817960718166,386375624668968
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,92627126,92627126,524288,2621440,384769,43128764,386375624630668,388817960746326,388818007723769,386375679888370
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,79360111,79360111,524288,2621440,374268,41943072,386375679858920,388818007764872,388818056552880,386375727248528
35,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,70,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32329428,32329428,262144,10125312,1444757,162105824,386375727193408,388818056582480,388818075796019,386375746614828
36,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,72,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,190721551,142267514,524448,1589441,409162,45834568,386375746596009,388818075838645,388818164203795,386375860080822
37,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,74,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,117203191,117203191,524288,2097152,305450,34030572,386375860056912,388818164242970,388818253817881,386375930047709
38,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,76,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,94561816,94561816,524288,2621440,383076,42925016,386375930019350,388818253847801,388818313504247,386375986414149
39,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,78,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,88739736,88739736,524288,2621440,386079,43207072,386375986378180,388818313532414,388818365628246,386376039344323
40,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,80,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,31997606,31997606,262144,10125312,1466116,164224312,386376039301774,388818365650806,388818384704983,386376058536716
41,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,82,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,155963433,118633188,524476,1593310,417686,46800732,386376058519356,388818384747117,388818457379040,386376151396550
42,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,84,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,116235377,116235377,524288,2097152,300242,33837716,386376151360701,388818457401689,388818548726189,386376220696735
43,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,86,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,80646549,80646549,524288,2621440,384612,43129368,386376220669075,388818548762669,388818605174482,386376268808205
44,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,88,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,79321144,79321144,524288,2621440,384875,43155620,386376268772726,388818605203396,388818652614762,386376316133893
45,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,90,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32689827,32689827,262144,10125312,1463940,164059180,386376316079534,388818652655562,388818671712459,386376335713713
46,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,92,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,111760420,111760420,524288,1572864,225649,25165824,386376335694003,388818671755473,388818748822902,386376402360163
47,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,94,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,153167699,135250238,524470,2251018,512335,57511216,386376402315873,388818748851719,388818824178870,386376493575283
48,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,96,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,79565738,79565738,524288,2621440,383280,42938984,386376493538913,388818824242070,388818878175039,386376541058270
49,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,98,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,80722020,80722020,524288,2621440,386275,43148516,386376541022340,388818878200975,388818925413460,386376589323179
50,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,100,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32088748,32088748,262144,10125312,1518664,170384716,386376589288239,388818925435540,388818944485876,386376608506482
51,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,102,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,114187352,114187352,524288,1572864,232505,26068856,386376608562031,388818944529064,388819023064006,386376676683467
52,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,104,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,119625651,119625651,524288,2097152,299710,33554592,386376676684997,388819023093486,388819111039278,386376748097200
53,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,106,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,81633503,81633503,524288,2621440,374603,41943088,386376748096350,388819111069678,388819171704838,386376796921214
54,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,108,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,81503356,81503356,524288,2621440,374197,41943068,386376796920104,388819171733447,388819218933452,386376845632049
55,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,110,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32067401,32067401,262144,10125312,1449426,162091244,386376845624099,388819218961132,388819238013388,386376864951230
56,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,112,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,153763181,116019144,524480,1591476,824638,92328052,386376864957220,388819238055255,388819343010753,386376956600606
57,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,114,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,121936537,121936537,524288,2097152,305847,34030520,386376956629766,388819343096019,388819435006436,386377029514475
58,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,116,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,80787015,80787015,524288,2621440,390418,43701696,386377029523705,388819435039556,388819493394082,386377077853144
59,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,118,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b52c0,81770421,81770421,524288,2621440,384221,43116840,386377077872954,388819493428268,388819540436914,386377126755227
60,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,120,2528085,2528085,16777216,1024,8192,0,20,4,32,64,0x0,0x7f61ad5b5340,32048683,32048683,262144,10125312,1460996,163868020,386377126763537,388819540469234,388819559501010,386377146066678
61,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,122,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5200,119842595,119842595,524288,1572864,225272,25165824,386377146095158,388819559546731,388819641074310,386377217609121
62,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,124,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5280,117423970,117423970,524288,2097152,300014,33554536,386377217582131,388819641103368,388819748959173,386377287750047
63,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,126,2528085,2528085,33554432,1024,0,0,8,0,16,64,0x0,0x7f61ad5b5240,122581266,82024127,525123,3511222,646131,72428096,386377287726227,388819748998213,388819798286689,386377360799084
