Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2561869,2561869,33554432,1024,0,0,12,4,32,64,0x0,0x7fcfee5b5380,0,0,0,386441704523739,388815760490734,388816036841280,386441970063965
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b5200,0,0,0,386441969759118,388816036892487,388816122287879,386442042367101
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b5280,0,0,0,386442042368931,388816122320405,388816187256671,386442113844136
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b5240,0,0,0,386442113843346,388816187283871,388816237475544,386442163837899
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b52c0,0,0,0,386442163858599,388816237502168,388816284927446,386442213654235
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2561869,2561869,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcfee5b5340,1572864,737005,82546191,386442213666534,388816284956406,388816303995059,386442233380913
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b5200,0,0,0,386442233416472,388816304040125,388816391571532,386442310499412
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b5280,0,0,0,386442310500322,388816391600888,388816481608424,386442399762094
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b5240,0,0,0,386442399731324,388816481638664,388816529397861,386442449876276
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b52c0,0,0,0,386442449733827,388816529424370,388816576221330,386442499012398
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2561869,2561869,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcfee5b5340,1572864,737325,82533147,386442499008328,388816576248530,388816595646382,386442518353520
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b5200,0,0,0,386442518371419,388816595689517,388816678415480,386442590932913
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b5280,0,0,0,386442590921493,388816678498370,388816764252804,386442665225870
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b5240,0,0,0,386442665221700,388816764285764,388816825670198,386442748399441
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2561869,2561869,33554432,1024,0,0,8,0,16,64,0x0,0x7fcfee5b52c0,0,0,0,386442748406281,388816825705531,388816884874940,386442798385215
