Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2681101,2681101,33554432,1024,0,0,12,4,32,64,0x0,0x7efdeef55380,460557543,460557543,709423,3684460352,524288,203799419173,3675325564,0,815211598500,386643206068700,388815760490734,388816036841280,386643498870533
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2681101,2681101,33554432,1024,0,0,8,0,16,64,0x0,0x7efdeef55200,157310897,157310897,310607,1258487184,524288,87098608240,1258334806,0,348408355192,386643498833713,388816036892487,388816122287879,386643592600994
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2681101,2681101,33554432,1024,0,0,8,0,16,64,0x0,0x7efdeef55280,117773083,117773083,338942,942184672,524288,67096953008,941846122,0,268401736288,386643592606604,388816122320405,388816187256671,386643663011599
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2681101,2681101,33554432,1024,0,0,8,0,16,64,0x0,0x7efdeef55240,80548692,80548692,76853,644389544,524288,38352263928,643463909,0,153422984088,386643662942000,388816187283871,388816237475544,386643711033889
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2681101,2681101,33554432,1024,0,0,8,0,16,64,0x0,0x7efdeef552c0,79860448,79860448,98032,638883592,524288,38616562632,637557611,0,154480174932,386643711020379,388816237502168,388816284927446,386643758741761
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2681101,2681101,16777216,1024,8192,0,20,4,32,64,0x0,0x7efdeef55340,32642439,32642439,62145,261139520,262144,17431696107,260676921,0,69733921260,386643758756291,388816284956406,388816303995059,386643778407953
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2681101,2681101,33554432,1024,0,0,8,0,16,64,0x0,0x7efdeef55200,145747191,145747191,85970,1165977536,524288,78644329962,1165579721,0,314591246332,386643778419633,388816304040125,388816391571532,386643865387239
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2681101,2681101,33554432,1024,0,0,8,0,16,64,0x0,0x7efdeef55280,132904331,132904331,143499,1063234656,524288,72851754880,1062977236,0,291420943528,386643865334320,388816391600888,388816481608424,386643944624279
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2681101,2681101,33554432,1024,0,0,8,0,16,64,0x0,0x7efdeef55240,78782939,78782939,210946,630263520,524288,38671454049,629649854,0,154699753800,386643944563110,388816481638664,388816529397861,386643991597639
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2681101,2681101,33554432,1024,0,0,8,0,16,64,0x0,0x7efdeef552c0,82871179,82871179,114030,662969440,524288,39569542510,662039935,0,158292091004,386643991582189,388816529424370,388816576221330,386644041053115
