Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2696589,2696589,33554432,1024,0,0,12,4,32,64,0x0,0x7f1f1636d380,1572864,1649094,185147592,389107691136656,391272811768609,391273054562324,389107980859344
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d200,1048576,773230,86343920,389107980789695,391273054616110,391273136699487,389108057227619
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d280,1048576,811544,91109456,389108057168210,391273136728290,391273208075188,389108128272548
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d240,1572864,1514640,170022632,389108128216078,391273208100788,391273256569490,389108188494303
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d2c0,1572864,1538444,172101240,389108188444723,391273256596162,391273303708066,389108244569249
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2696589,2696589,16777216,1024,8192,0,20,4,32,64,0x0,0x7f1f1636d340,1310720,1325490,148378184,389108244519239,391273303734466,391273322971225,389108263795819
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d200,1048576,813020,91381064,389108263759319,391273323018933,391273388849680,389108331086464
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d280,1048576,702272,78395864,389108331019445,391273388879521,391273464597921,389108421645219
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d240,1572864,1468750,165023216,389108421579720,391273464650721,391273512107259,389108470750804
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d2c0,1572864,1377348,153689624,389108470700575,391273512135618,391273559929752,389108521258025
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2696589,2696589,16777216,1024,8192,0,20,4,32,64,0x0,0x7f1f1636d340,1310720,1330004,148642664,389108521197516,391273559963352,391273579028108,389108540679123
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d200,1049320,2437488,272979840,389108540643554,391273579076710,391273651356888,389108621094779
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d280,1048576,804524,91072840,389108621061789,391273651390416,391273742303979,389108699072628
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2696589,2696589,33554432,1024,0,0,8,0,16,64,0x0,0x7f1f1636d240,1572864,1432666,160739272,389108699015289,391273742363339,391273790725632,389108746482900
