Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,1741687,1741687,33554432,1024,0,0,12,4,32,64,0x0,0x7f9ab14ed380,381960359673280,381960359710622,381960570254218,381960570361348
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed200,381960570304749,381960570336288,381960634059429,381960634165570
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed280,381960634072910,381960634093901,381960698142649,381960698249969
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed240,381960698156460,381960698174809,381960749863856,381960749950450
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed2c0,381960749884260,381960749903225,381960801063174,381960801168144
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,1741687,1741687,16777216,1024,8192,0,20,4,32,64,0x0,0x7f9ab14ed340,381960801079715,381960801096614,381960820245454,381960820320378
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed200,381960820273718,381960820294633,381960884162099,381960884267069
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed280,381960884176879,381960884192942,381960947742641,381960947843881
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed240,381960947753702,381960947770161,381960998740320,381960998835227
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed2c0,381960998754807,381960998772992,381961049523304,381961049620044
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,1741687,1741687,16777216,1024,8192,0,20,4,32,64,0x0,0x7f9ab14ed340,381961049535554,381961049551944,381961068679011,381961068767388
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed200,381961068704848,381961068725171,381961134609946,381961134707386
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed280,381961134621546,381961134639764,381961199812028,381961199912248
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed240,381961199824298,381961199844175,381961262841313,381961263177623
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed2c0,381961263532010,381961263631234,381961315123379,381961315192001
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,1741687,1741687,16777216,1024,8192,0,20,4,32,64,0x0,0x7f9ab14ed340,381961315288261,381961315333449,381961334482114,381961334552254
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed200,381961334561254,381961334623823,381961398845192,381961398922312
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed280,381961398889142,381961398908742,381961462513304,381961462595444
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed240,381961462551715,381961462583100,381961642037137,381961642119806
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed2c0,381961642105026,381961642179377,381961692810335,381961692871793
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,1741687,1741687,16777216,1024,8192,0,20,4,32,64,0x0,0x7f9ab14ed340,381961692825144,381961692846496,381961711972758,381961712041507
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed200,381961712007388,381961712034895,381961942855193,381961942936703
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed280,381961942922123,381961942954015,381962282497003,381962282699834
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed240,381962282728673,381962282831677,381962400322542,381962400391671
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed2c0,381962400355822,381962400379733,381962591636616,381962591716686
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,1741687,1741687,16777216,1024,8192,0,20,4,32,64,0x0,0x7f9ab14ed340,381962591663066,381962591682536,381962611183040,381962611232798
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed200,381962611216388,381962611236691,381962791818703,381962791913733
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed280,381962791848393,381962791863039,381963117779924,381963117858184
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed240,381963117797735,381963117812496,381963234591998,381963234650148
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed2c0,381963234619328,381963234636270,381963424866579,381963424930589
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,1741687,1741687,16777216,1024,8192,0,20,4,32,64,0x0,0x7f9ab14ed340,381963424883950,381963424897459,381963445365003,381963445383415
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed200,381963445397485,381963445424435,381963625222415,381963625301705
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed280,381963625245945,381963625268613,381963982465031,381963982543791
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed240,381963982512431,381963982546375,381964103338208,381964103423348
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed2c0,381964103366688,381964103387547,381964285464413,381964285546423
35,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,70,1741687,1741687,16777216,1024,8192,0,20,4,32,64,0x0,0x7f9ab14ed340,381964285485293,381964285501853,381964305448277,381964305511122
36,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,72,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed200,381964305478412,381964305492514,381964536319996,381964536469116
37,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,74,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed280,381964536462487,381964536595809,381964908129208,381964908191458
38,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,76,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed240,381964908196018,381964908274651,381965128970439,381965129045469
39,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,78,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed2c0,381965129039029,381965129125974,381965366225302,381965366303332
40,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,80,1741687,1741687,16777216,1024,8192,0,20,4,32,64,0x0,0x7f9ab14ed340,381965366256572,381965366277302,381965385789805,381965385845974
41,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,82,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed200,381965385819304,381965385832361,381965803369214,381965803483684
42,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,84,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed280,381965803469864,381965803507375,381966231146487,381966231300137
43,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,86,1741687,1741687,33554432,1024,0,0,8,0,16,64,0x0,0x7f9ab14ed240,381966231309327,381966231417852,381966620303114,381966620368804
