Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2868944,2868944,33554432,1024,0,0,12,4,32,64,0x0,0x7fcc433b5380,353243076,353243076,524288,2621440,770190,43104152,365309816069122,366788083721842,366788355517844,365310051696614
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2868944,2868944,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc433b5200,120413366,120413366,524288,1572864,464735,26042376,365310051685744,366788355573736,366788442233566,365310123791268
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2868944,2868944,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc433b5280,117474658,117474658,524288,2097152,608610,34020464,365310123799868,366788442264965,366788509144822,365310194106587
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2868944,2868944,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc433b5240,81519632,81519632,524288,2621440,794640,44525804,365310194123307,366788509167862,366788558759114,365310243023243
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2868944,2868944,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc433b52c0,80981366,80981366,524288,2621440,769216,43083388,365310243039243,366788558786305,366788619180095,365310291548802
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2868944,2868944,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcc433b5340,31995430,31995430,262144,10125312,2927579,164091480,365310291559552,366788619220735,366788638463092,365310310903241
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2868944,2868944,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc433b5200,118298883,118298883,524288,1572864,449130,25165824,365310310944630,366788638507722,366788709111236,365310381612396
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2868944,2868944,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc433b5280,133123793,114411235,524777,2364745,2117433,118657076,365310381628316,366788709140452,366788795145683,365310461244791
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2868944,2868944,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc433b5240,82889590,82889590,524288,2621440,775870,43446856,365310461232431,366788795174483,366788854892417,365310510944121
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2868944,2868944,33554432,1024,0,0,8,0,16,64,0x0,0x7fcc433b52c0,81719504,81719504,524288,2621440,768684,43096744,365310510977761,366788854919033,366788915519360,365310560042966
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2868944,2868944,16777216,1024,8192,0,20,4,32,64,0x0,0x7fcc433b5340,32011552,32011552,262144,10125312,2925899,164085072,365310560061906,366788915549440,366788934766670,365310579520314
