Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2907745,2907745,33554432,1024,0,0,12,4,32,64,0x0,0x7f0e8ae6d380,0,0,0,365337422775058,366788083721842,366788355517844,365338754611446
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d200,0,0,0,365338754616706,366788355573736,366788442233566,365339328525103
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d280,0,0,0,365339328445883,366788442264965,366788509144822,365339693238594
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d240,0,0,0,365339693228654,366788509167862,366788558759114,365339900909522
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d2c0,0,0,0,365339900877303,366788558786305,366788619180095,365340070233600
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2907745,2907745,16777216,1024,8192,0,20,4,32,64,0x0,0x7f0e8ae6d340,1572864,1475094,82569460,365340070160510,366788619220735,366788638463092,365340090382062
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d200,0,0,0,365340090401132,366788638507722,366788709111236,365340529224365
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d280,0,0,0,365340529209755,366788709140452,366788795145683,365340867215955
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d240,0,0,0,365340867153545,366788795174483,366788854892417,365341101836132
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d2c0,0,0,0,365341101807332,366788854919033,366788915519360,365341275279088
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2907745,2907745,16777216,1024,8192,0,20,4,32,64,0x0,0x7f0e8ae6d340,1572864,1474074,82542984,365341275265028,366788915549440,366788934766670,365341294675176
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d200,0,0,0,365341294697046,366788934808018,366789014001081,365341797407369
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d280,0,0,0,365341797359840,366789014083661,366789101414166,365342175219028
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d240,0,0,0,365342175176319,366789101446966,366789155278512,365342394893023
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d2c0,0,0,0,365342394873923,366789155311821,366789202764980,365342689885598
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2907745,2907745,16777216,1024,8192,0,20,4,32,64,0x0,0x7f0e8ae6d340,1572864,1475169,82531388,365342689871388,366789202796180,366789221874850,365342709181608
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d200,0,0,0,365342709188888,366789221919952,366789328956293,365343016031921
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d280,0,0,0,365343016023401,366789328999692,366789418959923,365343333592851
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d240,0,0,0,365343333525891,366789418991283,366789479605034,365343536394656
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d2c0,0,0,0,365343536384196,366789479628410,366789549713983,365343705724214
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2907745,2907745,16777216,1024,8192,0,20,4,32,64,0x0,0x7f0e8ae6d340,1572864,1474475,82544978,365343705717224,366789549869341,366789568900971,365343725074773
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d200,0,0,0,365343725101393,366789568957456,366789644102543,365344228199033
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d280,0,0,0,365344228195393,366789644141742,366789723743930,365344533498319
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d240,0,0,0,365344533470069,366789723773992,366789787814141,365344785976436
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d2c0,0,0,0,365344785961947,366789787880701,366789847702940,365344956042318
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,2907745,2907745,16777216,1024,8192,0,20,4,32,64,0x0,0x7f0e8ae6d340,1572864,1474364,82540106,365344956007948,366789847740068,366789866952814,365344976959025
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d200,0,0,0,365344976971565,366789866998606,366789931771239,365345342764138
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d280,0,0,0,365345342718778,366789931799088,366790013659025,365345767730058
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d240,0,0,0,365345767723138,366790013689745,366790060501456,365345939244048
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d2c0,0,0,0,365345939247359,366790060528738,366790126858329,365346125221316
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,2907745,2907745,16777216,1024,8192,0,20,4,32,64,0x0,0x7f0e8ae6d340,1572864,1475534,82541041,365346125231306,366790126940409,366790146154279,365346144672824
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d200,0,0,0,365346144699894,366790146200910,366790213203124,365346628588724
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d280,0,0,0,365346628584164,366790213230201,366790294290137,365347046436271
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d240,0,0,0,365347046376631,366790294321017,366790355229007,365347234405572
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d2c0,0,0,0,365347234407543,366790355259811,366790416029561,365347417363794
35,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,70,2907745,2907745,16777216,1024,8192,0,20,4,32,64,0x0,0x7f0e8ae6d340,1577760,1479265,82765135,365347417351103,366790416053081,366790435085666,365347437996132
36,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,72,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d200,0,0,0,365347438024932,366790435188466,366790525248062,365347933781370
37,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,74,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d280,0,0,0,365347933762210,366790525287217,366790614714478,365348252887637
38,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,76,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d240,0,0,0,365348252869988,366790614744398,366790663729854,365348507096182
39,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,78,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d2c0,0,0,0,365348507071832,366790663755145,366790711713892,365348692811201
40,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,80,2907745,2907745,16777216,1024,8192,0,20,4,32,64,0x0,0x7f0e8ae6d340,1572864,1474572,82535473,365348692695022,366790711741892,366790731159596,365348714363293
41,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,82,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d200,0,0,0,365348714386393,366790731202429,366790820176900,365349093591791
42,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,84,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d280,0,0,0,365349093538921,366790820213680,366790909030871,365349493572637
43,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,86,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d240,0,0,0,365349493588737,366790909061271,366790969378860,365349674871741
44,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,88,2907745,2907745,33554432,1024,0,0,8,0,16,64,0x0,0x7f0e8ae6d2c0,0,0,0,365349674857841,366790969413983,366791025821669,365349852489533
