Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2945517,2945517,33554432,1024,0,0,12,4,32,64,0x0,0x7fbd08e15380,1593528,469856764,26312036376,365473665905716,366788083721842,366788355517844,365474992848605
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1051831,78854714,4415737328,365474992860545,366788355573736,366788442233566,365475395693996
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1054001,143165492,8017344320,365475395553777,366788442264965,366788509144822,365475979263823
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2965324,166155024,365475997582384,366788509167862,366788558759114,365476287958657
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1581265,177003988,9912060672,365476287931798,366788558786305,366788619180095,365476644437695
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2532848,141860496,365476644390365,366788619220735,366788638463092,365476666358391
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1104810,266072678,14900185152,365476666384130,366788638507722,366788709111236,365477090324973
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1051986,109572110,6136018184,365477090295943,366788709140452,366788795145683,365477627518957
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,3071902,171978776,365477627481747,366788795174483,366788854892417,365477970908827
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1594595,355039160,19882152544,365477970853517,366788854919033,366788915519360,365478197770258
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2640028,147950608,365478197776198,366788915549440,366788934766670,365478217858236
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1048731,3050200,170693112,365478217888916,366788934808018,366789014001081,365478720496694
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1072322,363168268,20337509408,365478720441225,366789014083661,366789101414166,365479269869933
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1606406,395391584,22141974504,365479269808473,366789101446966,366789155278512,365479629216990
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2967898,166283200,365479629137141,366789155311821,366789202764980,365479968200081
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2777704,155495096,365479968165112,366789202796180,366789221874850,365479988640377
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1057969,166412946,9319160136,365479988628797,366789221919952,366789328956293,365480420431154
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1048576,1448374,81210296,365480420355415,366789328999692,366789418959923,365480757673737
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1614125,169620368,9498687816,365480757627178,366789418991283,366789479605034,365481076327032
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2807710,157189744,365481076307272,366789479628410,366789549713983,365481254537466
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2649944,148354928,365481254525836,366789549869341,366789568900971,365481273719481
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1070834,203078324,11372398384,365481273735051,366789568957456,366789644102543,365481766182820
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1051490,95637214,5355621312,365481766051151,366789644141742,366789723743930,365482286455794
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2975768,166641800,365482286388604,366789723773992,366789787814141,365482454752637
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2973934,166678384,365482454756877,366789787880701,366789847702940,365482627979677
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2466026,138287128,365482627889707,366789847740068,366789866952814,365482648276364
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1051552,89252448,4998105368,365482648276444,366789866998606,366789931771239,365483134208089
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1057504,203778988,11411652216,365483134165239,366789931799088,366790013659025,365483715751131
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2838888,159020824,365483715697431,366790013689745,366790060501456,365484043902358
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2969496,166362680,365484043870938,366790060528738,366790126858329,365484213929780
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2648532,148418280,365484213893710,366790126940409,366790146154279,365484234318056
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1076228,403149790,22576360912,365484234314216,366790146200910,366790213203124,365484718239946
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1048576,1649320,92391544,365484718224886,366790213230201,366790294290137,365485173158190
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2967438,166230448,365485173118590,366790294321017,366790355229007,365485348939411
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1606995,297009978,16632547720,365485348955641,366790355259811,366790416029561,365485631128382
35,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,70,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2644600,148101920,365485631102432,366790416053081,366790435085666,365485653866632
36,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,72,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1048576,1635686,91711128,365485653898112,366790435188466,366790525248062,365486124103958
37,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,74,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1060883,341603568,19129757136,365486124020509,366790525287217,366790614714478,365486521919525
38,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,76,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,3026912,169500120,365486521916985,366790614744398,366790663729854,365486703648044
39,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,78,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2851708,159767856,365486703573484,366790663755145,366790711713892,365486883314218
40,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,80,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2640458,147977808,365486883275638,366790711741892,366790731159596,365486903662834
41,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,82,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1048576,1643440,91987920,365486903669714,366790731202429,366790820176900,365487371453867
42,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,84,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1053815,158274502,8863432376,365487371403248,366790820213680,366790909030871,365487800783592
43,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,86,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2969278,166418992,365487800774522,366790909061271,366790969378860,365487984272219
44,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,88,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2976010,166576096,365487984227539,366790969413983,366791025821669,365488162158615
45,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,90,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2643198,148039800,365488162142275,366791025852229,366791044882736,365488182619971
46,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,92,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1049072,12283664,687920800,365488182642381,366791044940022,366791120988606,365488652948546
47,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,94,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1048576,1456666,81565400,365488652875817,366791121048607,366791199412880,365489195932629
48,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,96,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,3041300,170264496,365489195934629,366791199442160,366791247069713,365489382215217
49,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,98,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2827616,158305360,365489382178517,366791247092187,366791302941956,365489557859449
50,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,100,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2665220,149151592,365489557815109,366791302971076,366791322221582,365489578067356
51,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,102,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1054621,145141958,8127988192,365489578048787,366791322264403,366791388928384,365489956450260
52,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,104,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1048576,1604346,89850312,365489956392940,366791388955983,366791468768884,365490271739388
53,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,106,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2808732,157189064,365490271710778,366791468801684,366791529194797,365490451103694
54,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,108,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2973266,166587832,365490451044374,366791529224008,366791607061239,365490632862173
55,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,110,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2637050,147635408,365490632844323,366791607142679,366791626362146,365490653131450
56,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,112,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1081126,209534450,11733961904,365490653155190,366791626409841,366791696033652,365490986572560
57,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,114,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1048576,1642890,91948136,365490986562370,366791696066571,366791777387149,365491341085642
58,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,116,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2803240,156975808,365491341020062,366791777416429,366791836069067,365491540250918
59,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,118,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,3039904,170267096,365491540226419,366791836098879,366791896567360,365491704683999
60,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,120,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2639128,147864944,365491704666149,366791896594880,366791915815628,365491724106052
61,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,122,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1062154,263820144,14774001624,365491724129472,366791915859915,366791982796535,365492254843622
62,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,124,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1048576,1704970,95319792,365492254800043,366791982826202,366792073740840,365492732695224
63,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,126,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2969184,166192632,365492732661785,366792073778760,366792123123107,365492897175735
64,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,128,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2981234,166802392,365492897158076,366792123153676,366792183051916,365493057574735
65,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,130,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2642734,148100880,365493057566205,366792183079436,366792202287863,365493078304009
66,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,132,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1056822,148625988,8323103688,365493078312649,366792202331737,366792269677158,365493407123362
67,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,134,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1048576,1436900,80547552,365493407071282,366792269706986,366792336783929,365493732073161
68,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,136,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2973862,166505088,365493732060882,366792336811769,366792384197722,365493896458203
69,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,138,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e152c0,1572864,2973032,166524432,365493896423903,366792384217730,366792464109199,365494057567268
70,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,140,2945517,2945517,16777216,1024,8192,0,20,4,32,64,0x0,0x7fbd08e15340,1310720,2642104,147842792,365494057534608,366792464148559,366792483400187,365494077353928
71,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,142,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15200,1048576,1549130,86753296,365494077366258,366792483444831,366792550331695,365494357764552
72,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,144,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15280,1048576,1983168,110966520,365494357749872,366792550358676,366792629892548,365494666422157
73,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,146,2945517,2945517,33554432,1024,0,0,8,0,16,64,0x0,0x7fbd08e15240,1572864,2971912,166331832,365494666416537,366792629923428,366792690066309,365494832854834
