Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2974413,2974413,33554432,1024,0,0,12,4,32,64,0x0,0x7f083b8d5380,1572864,20865525074,1168469317828,365618242461254,366788083721842,366788355517844,365618482737901
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5200,1048576,3720092617,208325200728,365618482895560,366788355573736,366788442233566,365618545615195
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5280,1048576,3761084756,210620727004,365618545620465,366788442264965,366788509144822,365618609554691
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5240,1572864,3427492682,191939534792,365618609566561,366788509167862,366788558759114,365618660014655
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d52c0,1572864,3421612089,191610233360,365618660014795,366788558786305,366788619180095,365618710082891
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2974413,2974413,16777216,1024,8192,0,20,4,32,64,0x0,0x7f083b8d5340,1064960,1561474867,87442595229,365618710264300,366788619220735,366788638463092,365618731867111
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5200,1048576,4081750720,228578002608,365618731889730,366788638507722,366788709111236,365618797289768
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5280,1056720,3972063858,222435561821,365618797271048,366788709140452,366788795145683,365618861206005
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5240,1637296,3835805641,214805087211,365618861200775,366788795174483,366788854892417,365618910438707
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d52c0,1572864,3659676987,204941908480,365618910434707,366788854919033,366788915519360,365618957919970
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,2974413,2974413,16777216,1024,8192,0,20,4,32,64,0x0,0x7f083b8d5340,1064960,1837262606,102886710224,365618957892600,366788915549440,366788934766670,365618977067026
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5200,1059424,4709868120,263752543141,365618977091966,366788934808018,366789014001081,365619047132173
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5280,1082816,4565853138,255687734782,365619047119463,366789014083661,366789101414166,365619116202806
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5240,1579808,3732488794,209019371252,365619116193817,366789101446966,366789155278512,365619177189502
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d52c0,1667104,3906219266,218748229437,365619177200962,366789155311821,366789202764980,365619227084670
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,2974413,2974413,16777216,1024,8192,0,20,4,32,64,0x0,0x7f083b8d5340,1154720,1934507798,108332389022,365619227085230,366789202796180,366789221874850,365619246875402
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5200,1048576,4653690318,260606629940,365619246894222,366789221919952,366789328956293,365619316878729
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5280,1062416,4572644493,256068101623,365619316819740,366789328999692,366789418959923,365619385361327
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5240,1592624,3742236878,209565213584,365619385352437,366789418991283,366789479605034,365619455923191
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d52c0,1581424,3822311826,214049443551,365619455894921,366789479628410,366789549713983,365619503847441
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,2974413,2974413,16777216,1024,8192,0,20,4,32,64,0x0,0x7f083b8d5340,1092704,1822420242,102055499244,365619503869221,366789549869341,366789568900971,365619523647563
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5200,1108000,4551884699,254905534248,365619523650433,366789568957456,366789644102543,365619593302803
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5280,1050960,4398020623,246289181339,365619593293923,366789644141742,366789723743930,365619685103639
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5240,1673456,3871052399,216778944059,365619685097219,366789723773992,366789787814141,365619735166566
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d52c0,1572864,3808327145,213266284808,365619735166286,366789787880701,366789847702940,365619783186255
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,2974413,2974413,16777216,1024,8192,0,20,4,32,64,0x0,0x7f083b8d5340,1064960,1869990675,104719439936,365619783184046,366789847740068,366789866952814,365619802473881
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5200,1065152,4639110946,259790202595,365619802472761,366789866998606,366789931771239,365619871509124
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,2974413,2974413,33554432,1024,0,0,8,0,16,64,0x0,0x7f083b8d5280,1064144,4931743482,276177614983,365619871504395,366789931799088,366790013659025,365619964172605
