Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,2984447,2984447,33554432,1024,0,0,12,4,32,64,0x0,0x7fc11f4f5380,2777975341,2682102463,41922335,22223802736,545965,1138486280195,21366991429,0,4553959693752,365645278639426,366788083721842,366788355517844,365646949261872
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,2984447,2984447,33554432,1024,0,0,8,0,16,64,0x0,0x7fc11f4f5200,935921405,904417833,19652116,7487371248,536826,514315595526,7206802583,0,2057276734636,365646949141963,366788355573736,366788442233566,365647506038241
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,2984447,2984447,33554432,1024,0,0,8,0,16,64,0x0,0x7fc11f4f5280,893311306,893131074,7869201,7146490456,525910,486216435559,7138754058,0,1944879707288,365647505940162,366788442264965,366788509144822,365648037414051
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,2984447,2984447,33554432,1024,0,0,8,0,16,64,0x0,0x7fc11f4f5240,568831285,568831285,655824,4550650288,524288,250383547553,4545979063,0,1001548100824,365648037374162,366788509167862,366788558759114,365648375509504
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,2984447,2984447,33554432,1024,0,0,8,0,16,64,0x0,0x7fc11f4f52c0,412677220,412677220,339270,3301417768,524288,192783910880,3297233495,0,771149548536,365648375471604,366788558786305,366788619180095,365648620879881
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,2984447,2984447,16777216,1024,8192,0,20,4,32,64,0x0,0x7fc11f4f5340,32023102,32023102,87421,256184824,262144,16511954881,255846296,0,66054942396,365648620850001,366788619220735,366788638463092,365648640040422
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,2984447,2984447,33554432,1024,0,0,8,0,16,64,0x0,0x7fc11f4f5200,801358368,801358368,1646338,6410866952,524288,427217412728,6408982035,0,1708883560080,365648640073222,366788638507722,366788709111236,365649116833040
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,2984447,2984447,33554432,1024,0,0,8,0,16,64,0x0,0x7fc11f4f5280,894519397,894519397,1016454,7156155184,524288,469292243801,7153654332,0,1877182879828,365649116754140,366788709140452,366788795145683,365649648829966
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,2984447,2984447,33554432,1024,0,0,8,0,16,64,0x0,0x7fc11f4f5240,596067772,595973985,687953,4768542184,524846,256705127164,4529897155,0,1026834433984,365649648775196,366788795174483,366788854892417,365650003114629
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,2984447,2984447,33554432,1024,0,0,8,0,16,64,0x0,0x7fc11f4f52c0,618357480,599115873,4020785,4946859848,531725,271653812486,4634702459,0,1086629404848,365650003045820,366788854919033,366788915519360,365650370586204
