Dispatch_ID,Kernel_Name,GPU_ID,queue-id,queue-index,pid,tid,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,wave_size,sig,obj,DispatchNs,Start_Timestamp,End_Timestamp,CompleteNs
0,"void init_kernel<double>(double*, double*, double*, double, double, double) [clone .kd]",2,0,0,3171789,3171789,33554432,1024,0,0,12,4,32,64,0x0,0x7f8626455380,366788083690441,366788083721842,366788355517844,366788355627584
1,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,2,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366788355554535,366788355573736,366788442233566,366788442304255
2,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,4,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366788442249786,366788442264965,366788509144822,366788509209881
3,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,6,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366788509157201,366788509167862,366788558759114,366788558817428
4,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,8,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366788558771528,366788558786305,366788619180095,366788619258144
5,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,10,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366788619203195,366788619220735,366788638463092,366788638538354
6,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,12,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366788638493325,366788638507722,366788709111236,366788709178405
7,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,14,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366788709125936,366788709140452,366788795145683,366788795212733
8,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,16,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366788795159093,366788795174483,366788854892417,366788854950185
9,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,18,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366788854904065,366788854919033,366788915519360,366788915588050
10,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,20,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366788915534140,366788915549440,366788934766670,366788934817610
11,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,22,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366788934795410,366788934808018,366789014001081,366789014081300
12,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,24,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366789014053091,366789014083661,366789101414166,366789101486425
13,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,26,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366789101430996,366789101446966,366789155278512,366789155343362
14,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,28,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366789155296783,366789155311821,366789202764980,366789202834070
15,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,30,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366789202781060,366789202796180,366789221874850,366789221951941
16,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,32,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366789221906612,366789221919952,366789328956293,366789329036432
17,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,34,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366789328980222,366789328999692,366789418959923,366789419030393
18,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,36,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366789418976693,366789418991283,366789479605034,366789479663397
19,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,38,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366789479616407,366789479628410,366789549713983,366789549808402
20,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,40,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366789549793953,366789549869341,366789568900971,366789568985103
21,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,42,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366789568933914,366789568957456,366789644102543,366789644179682
22,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,44,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366789644123372,366789644141742,366789723743930,366789723813959
23,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,46,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366789723757859,366789723773992,366789787814141,366789787932580
24,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,48,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366789787859921,366789787880701,366789847702940,366789847772572
25,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,50,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366789847724443,366789847740068,366789866952814,366789867036783
26,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,52,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366789866983323,366789866998606,366789931771239,366789931838078
27,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,54,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366789931784118,366789931799088,366790013659025,366790013730984
28,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,56,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366790013674074,366790013689745,366790060501456,366790060558527
29,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,58,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366790060512568,366790060528738,366790126858329,366790126978677
30,"void dot_kernel<double>(double const*, double const*, double*, int) [clone .kd]",2,0,60,3171789,3171789,16777216,1024,8192,0,20,4,32,64,0x0,0x7f8626455340,366790126912678,366790126940409,366790146154279,366790146232038
31,"void copy_kernel<double>(double const*, double*) [clone .kd]",2,0,62,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455200,366790146186258,366790146200910,366790213203124,366790213253032
32,"void mul_kernel<double>(double*, double const*) [clone .kd]",2,0,64,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455280,366790213216643,366790213230201,366790294290137,366790294358946
33,"void add_kernel<double>(double const*, double const*, double*) [clone .kd]",2,0,66,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f8626455240,366790294304636,366790294321017,366790355229007,366790355292407
34,"void triad_kernel<double>(double*, double const*, double const*) [clone .kd]",2,0,68,3171789,3171789,33554432,1024,0,0,8,0,16,64,0x0,0x7f86264552c0,366790355245048,366790355259811,366790416029561,366790416094590
