Event,Desc,,
active_warps_pm,active_warps_pm,,
shared_ld_transactions,Number of transactions for shared load accesses. Maximum transaction size in maxwell is 128 bytes, any warp accessing more that 128 bytes will cause multiple transactions for a shared load instruction. This also includes extra transactions caused by shared bank conflicts.,
shared_st_transactions,Number of transactions for shared store accesses. Maximum transaction size in maxwell is 128 bytes, any warp accessing more that 128 bytes will cause multiple transactions for a shared store instruction. This also includes extra transactions caused by shared bank conflicts.,
elapsed_cycles_pm,elapsed_cycles_pm,,
shared_ld_bank_conflict,Number of shared load bank conflict generated when the addresses for two or more shared memory load requests fall in the same memory bank.,,
shared_st_bank_conflict,Number of shared store bank conflict generated when the addresses for two or more shared memory store requests fall in the same memory bank.,,
inst_executed_fp64_pipe_s0,inst_executed_fp64_pipe_s0,,
inst_executed_fp64_pipe_s1,inst_executed_fp64_pipe_s1,,
inst_executed_fp64_pipe_s2,inst_executed_fp64_pipe_s2,,
inst_executed_fp64_pipe_s3,inst_executed_fp64_pipe_s3,,
inst_executed_fma_pipe_s0,inst_executed_fma_pipe_s0,,
inst_executed_fma_pipe_s1,inst_executed_fma_pipe_s1,,
inst_executed_fma_pipe_s2,inst_executed_fma_pipe_s2,,
inst_executed_fma_pipe_s3,inst_executed_fma_pipe_s3,,
fb_subp0_read_sectors,Number of DRAM read requests to sub partition 0, increments by 1 for 32 byte access.,
fb_subp1_read_sectors,Number of DRAM read requests to sub partition 1, increments by 1 for 32 byte access.,
fb_subp0_write_sectors,Number of DRAM write requests to sub partition 0, increments by 1 for 32 byte access.,
fb_subp1_write_sectors,Number of DRAM write requests to sub partition 1, increments by 1 for 32 byte access.,
active_warps,Accumulated number of active warps per cycle. For every cycle it increments by the number of active warps in the cycle which can be in the range 0 to 48.,,
sm_cta_launched,Number of thread blocks launched on a multiprocessor.,,
inst_issued0,inst_issued0,,
inst_issued1,inst_issued1,,
inst_executed,inst_executed,,
thread_inst_executed,thread_inst_executed,,
not_predicated_off_thread_inst_executed,,,
not_predicated_off_thread_inst_executed: Number of instructions executed by active and not predicated off threads, does not include replays. For each instruction it increments by the number of not predicated off threads that execute this instruction.,,
global_atom_cas,Number of ATOM.CAS instructions executed per warp.,,
global_load,global_load,,
global_store,Number of global store transactions. Incre- ments by 1 per transaction. Transaction can be 32/64/96/128B.,,
